time_1,time_2,gols_1,gols_2,data,ano,país_sede,comparecimento,resultado,rodada,gols_1_detalhes,gols_2_detalhes,gols_1_contra,gols_2_contra,gols_1_penalti,gols_2_penalti,cartao_vermelho_1,cartao_vermelho_2,cartao_amarelo_1,cartao_amarelo_2,copa
Republic of Ireland,Nigeria,0,0,2023-07-31,2023,"Australia, New Zealand",24884,0–0,Group stage,,,,,,,,,['68’|0:0|Katie McCabe'],,Feminina
Canada,Australia,0,4,2023-07-31,2023,"Australia, New Zealand",27706,0–4,Group stage,,Hayley Raso · 9’|Hayley Raso · 39’|Mary Fowler · 58’,,,,Steph Catley (P) · 90+4’,,,,"['68’|0:3|Emily van Egmond', '81’|0:3|Mackenzie Arnold']",Feminina
Korea Republic,Morocco,0,1,2023-07-30,2023,"Australia, New Zealand",12886,0–1,Group stage,,Ibtissam Jraïdi · 6’,,,,,,,,['81’|0:1|Nouhaila Benzina'],Feminina
Switzerland,New Zealand,0,0,2023-07-30,2023,"Australia, New Zealand",25947,0–0,Group stage,,,,,,,,,,,Feminina
Norway,Philippines,6,0,2023-07-30,2023,"Australia, New Zealand",34697,6–0,Group stage,Sophie Román Haug · 6’|Sophie Román Haug · 17’|Caroline Graham Hansen · 31’|Sophie Román Haug · 90+5’,,Alicia Barker (OG) · 48’,,Guro Reiten (P) · 53’,,,Sofia Harrison · 67’,['86’|5:0|Vilde Bøe Risa'],['54’|5:0|Katrina Guillou'],Feminina
Germany,Colombia,1,2,2023-07-30,2023,"Australia, New Zealand",40499,1–2,Group stage,,Linda Caicedo · 52’|Manuela Vanegas · 90+7’,,,Alexandra Popp (P) · 89’,,,,['56’|0:1|Lena Oberdorf'],"['62’|0:1|Lorena Bedoya', '79’|0:1|Diana Ospina', '88’|0:1|Catalina Pérez']",Feminina
Sweden,Italy,5,0,2023-07-29,2023,"Australia, New Zealand",29143,5–0,Group stage,Amanda Ilestedt · 39’|Fridolina Rolfö · 44’|Stina Blackstenius · 45+1’|Amanda Ilestedt · 50’|Rebecka Blomqvist · 90+5’,,,,,,,,,,Feminina
France,Brazil,2,1,2023-07-29,2023,"Australia, New Zealand",49378,2–1,Group stage,Eugénie Le Sommer · 17’|Wendie Renard · 83’,Debinha · 58’,,,,,,,"['11’|0:0|Kenza Dali', '29’|1:0|Sandie Toletti', '69’|1:1|Sakina Karchaoui']",['44’|1:0|Luana'],Feminina
Panama,Jamaica,0,1,2023-07-29,2023,"Australia, New Zealand",15987,0–1,Group stage,,Allyson Swaby · 56’,,,,,,,"['13’|0:0|Emily Cedeño', '17’|0:0|Deysiré Salazar']",['31’|0:0|Deneisha Blackwood'],Feminina
Argentina,South Africa,2,2,2023-07-28,2023,"Australia, New Zealand",8834,2–2,Group stage,Sophia Braun · 74’|Romina Núñez · 79’,Linda Motlhalo · 30’|Thembi Kgatlana · 66’,,,,,,,['45+1’|0:1|Miriam Mayorga'],"['43’|0:1|Kholosa Biyana', '56’|0:1|Tiisetso Makhubela']",Feminina
England,Denmark,1,0,2023-07-28,2023,"Australia, New Zealand",40439,1–0,Group stage,Lauren James · 6’,,,,,,,,,,Feminina
China PR,Haiti,1,0,2023-07-28,2023,"Australia, New Zealand",12675,1–0,Group stage,,,,,Wang Shuang (P) · 74’,,Zhang Rui · 29’,,,['63’|0:0|Melchie Dumornay'],Feminina
United States,Netherlands,1,1,2023-07-27,2023,"Australia, New Zealand",27312,1–1,Group stage,Lindsey Horan · 62’,Jill Roord · 17’,,,,,,,['51’|0:1|Rose Lavelle'],,Feminina
Portugal,Vietnam,2,0,2023-07-27,2023,"Australia, New Zealand",6645,2–0,Group stage,Telma Encarnação · 7’|Kika Nazareth · 21’,,,,,,,,['86’|2:0|Ana Borges'],,Feminina
Australia,Nigeria,2,3,2023-07-27,2023,"Australia, New Zealand",49156,2–3,Group stage,Emily van Egmond · 45+1’|Alanna Kennedy · 90+10’,Uchenna Kanu · 45+6’|Osinachi Ohale · 65’|Asisat Oshoala · 72’,,,,,,,['45+3’|1:0|Caitlin Foord'],"['21’|0:0|Michelle Alozie', '73’|1:3|Asisat Oshoala']",Feminina
Japan,Costa Rica,2,0,2023-07-26,2023,"Australia, New Zealand",6992,2–0,Group stage,Hikaru Naomoto · 25’|Aoba Fujino · 27’,,,,,,,,,['85’|2:0|Priscila Chinchilla'],Feminina
Spain,Zambia,5,0,2023-07-26,2023,"Australia, New Zealand",20983,5–0,Group stage,Teresa Abelleira · 9’|Jennifer Hermoso · 13’|Alba Redondo · 69’|Jennifer Hermoso · 70’|Alba Redondo · 85’,,,,,,,,,"['90+1’|5:0|Ochumba Oseke', '90+10’|5:0|Martha Tembo']",Feminina
Canada,Republic of Ireland,2,1,2023-07-26,2023,"Australia, New Zealand",17065,2–1,Group stage,Adriana Leon · 53’,Katie McCabe · 4’,Megan Connolly (OG) · 45+5’,,,,,,"['36’|0:1|Kadeisha Buchanan', '61’|2:1|Vanessa Gilles']",['90+8’|2:1|Katie McCabe'],Feminina
Colombia,Korea Republic,2,0,2023-07-25,2023,"Australia, New Zealand",24323,2–0,Group stage,Linda Caicedo · 39’,,,,Catalina Usme (P) · 30’,,,,"['10’|0:0|Manuela Vanegas', '45+6’|2:0|Carolina Arias']","['29’|0:0|Shim Seo-yeon', '45+7’|2:0|Lim Seon-joo']",Feminina
New Zealand,Philippines,0,1,2023-07-25,2023,"Australia, New Zealand",32357,0–1,Group stage,,Sarina Bolden · 24’,,,,,,,['42’|0:1|Hannah Wilkinson'],['49’|0:1|Angela Beard'],Feminina
Switzerland,Norway,0,0,2023-07-25,2023,"Australia, New Zealand",10769,0–0,Group stage,,,,,,,,,,,Feminina
Italy,Argentina,1,0,2023-07-24,2023,"Australia, New Zealand",30889,1–0,Group stage,Cristiana Girelli · 87’,,,,,,,,"['25’|0:0|Arianna Caruso', '85’|0:0|Barbara Bonansea']","['12’|0:0|Mariana Larroquette', '68’|0:0|Miriam Mayorga', '76’|0:0|Florencia Bonsegundo', '90+6’|1:0|Eliana Stábile']",Feminina
Germany,Morocco,6,0,2023-07-24,2023,"Australia, New Zealand",27256,6–0,Group stage,Alexandra Popp · 11’|Alexandra Popp · 39’|Klara Bühl · 46’|Lea Schüller · 90’,,Hanane Aït El Haj (OG) · 54’|Yasmin Mrabet (OG) · 79’,,,,,,['75’|4:0|Nicole Anyomi'],,Feminina
Brazil,Panama,4,0,2023-07-24,2023,"Australia, New Zealand",13142,4–0,Group stage,Ary Borges · 19’|Ary Borges · 39’|Beatriz · 48’|Ary Borges · 70’,,,,,,,,,,Feminina
Sweden,South Africa,2,1,2023-07-23,2023,"Australia, New Zealand",18317,2–1,Group stage,Fridolina Rolfö · 65’|Amanda Ilestedt · 90’,Hildah Magaia · 48’,,,,,,,,"['74’|1:1|Kholosa Biyana', '89’|1:1|Refiloe Jane']",Feminina
Netherlands,Portugal,1,0,2023-07-23,2023,"Australia, New Zealand",11991,1–0,Group stage,Stefanie van der Gragt · 13’,,,,,,,,['78’|1:0|Daniëlle van de Donk'],"['56’|1:0|Jéssica Silva', '84’|1:0|Diana Gomes']",Feminina
France,Jamaica,0,0,2023-07-23,2023,"Australia, New Zealand",39045,0–0,Group stage,,,,,,,,,['14’|0:0|Clara Matéo'],"['24’|0:0|Atlanta Primus', '37’|0:0|Khadija Shaw']",Feminina
United States,Vietnam,3,0,2023-07-22,2023,"Australia, New Zealand",41107,3–0,Group stage,Sophia Smith · 14’|Sophia Smith · 45+7’|Lindsey Horan · 77’,,,,,,,,['56’|2:0|Lindsey Horan'],['75’|2:0|Huỳnh Như'],Feminina
Zambia,Japan,0,5,2023-07-22,2023,"Australia, New Zealand",16111,0–5,Group stage,,Hinata Miyazawa · 43’|Mina Tanaka · 55’|Hinata Miyazawa · 62’|Jun Endō · 71’,,,,Riko Ueki (P) · 90+11’,,,['51’|0:1|Catherine Musonda'],,Feminina
England,Haiti,1,0,2023-07-22,2023,"Australia, New Zealand",44369,1–0,Group stage,,,,,Georgia Stanway (P) · 29’,,,,"['45+9’|1:0|Georgia Stanway', '51’|1:0|Lauren Hemp']",['19’|0:0|Dayana Pierre-Louis'],Feminina
Denmark,China PR,1,0,2023-07-22,2023,"Australia, New Zealand",16989,1–0,Group stage,Amalie Vangsgaard · 89’,,,,,,,,['40’|0:0|Rikke Sevecke'],,Feminina
Nigeria,Canada,0,0,2023-07-21,2023,"Australia, New Zealand",21410,0–0,Group stage,,,,,,,Deborah Abiodun · 90+8’,,['54’|0:0|Blessing Demehin'],"['74’|0:0|Ashley Lawrence', '90+9’|0:0|Evelyne Viens']",Feminina
Philippines,Switzerland,0,2,2023-07-21,2023,"Australia, New Zealand",13711,0–2,Group stage,,Seraina Piubel · 64’,,,,Ramona Bachmann (P) · 45’,,,['38’|0:0|Sofia Harrison'],"['8’|0:0|Ramona Bachmann', '83’|0:2|Noelle Maritz']",Feminina
Spain,Costa Rica,3,0,2023-07-21,2023,"Australia, New Zealand",22966,3–0,Group stage,Aitana Bonmatí · 23’|Esther González · 27’,,Valeria del Campo (OG) · 21’,,,,,,,,Feminina
New Zealand,Norway,1,0,2023-07-20,2023,"Australia, New Zealand",42137,1–0,Group stage,Hannah Wilkinson · 48’,,,,,,,,,['85’|1:0|Emilie Haavi'],Feminina
Australia,Republic of Ireland,1,0,2023-07-20,2023,"Australia, New Zealand",75784,1–0,Group stage,,,,,Steph Catley (P) · 52’,,,,,"[""41’|0:0|Denise O'Sullivan""]",Feminina
United States,Netherlands,2,0,2019-07-07,2019,France,57900,2–0,Final,Rose Lavelle · 69’,,,,Megan Rapinoe (P) · 61’,,,,['41’|0:0|Abby Dahlkemper'],"['10’|0:0|Sherida Spitse', '60’|0:0|Stefanie van der Gragt']",Feminina
England,Sweden,1,2,2019-07-06,2019,France,20316,1–2,Third-place match,Fran Kirby · 31’,Kosovare Asllani · 11’|Sofia Jakobsson · 22’,,,,,,,['90+4’|1:2|Jade Moore'],['85’|1:2|Hedvig Lindahl'],Feminina
Netherlands,Sweden,1,0,2019-07-03,2019,France,48452,1–0,Semi-finals,Jackie Groenen · 99’,,,,,,,,"['85’|0:0|Sherida Spitse', '116’|1:0|Daniëlle van de Donk']",['94’|0:0|Julia Zigiotti Olme'],Feminina
England,United States,1,2,2019-07-02,2019,France,53512,1–2,Semi-finals,Ellen White · 19’,Christen Press · 10’|Alex Morgan · 31’,,,,,,,"['40’|1:2|Millie Bright', '90+5’|1:2|Nikita Parris']","['47’|1:2|Lindsey Horan', '83’|1:2|Becky Sauerbrunn']",Feminina
Italy,Netherlands,0,2,2019-06-29,2019,France,22600,0–2,Quarter-finals,,Vivianne Miedema · 70’|Stefanie van der Gragt · 80’,,,,,,,"['41’|0:0|Elena Linari', '67’|0:0|Alia Guagni', '73’|0:1|Valentina Cernoia', '79’|0:1|Daniela Sabatino']",,Feminina
Germany,Sweden,1,2,2019-06-29,2019,France,25301,1–2,Quarter-finals,Lina Magull · 16’,Sofia Jakobsson · 22’|Stina Blackstenius · 48’,,,,,,,,['56’|1:2|Fridolina Rolfö'],Feminina
France,United States,1,2,2019-06-28,2019,France,45595,1–2,Quarter-finals,Wendie Renard · 81’,Megan Rapinoe · 5’|Megan Rapinoe · 65’,,,,,,,"['4’|0:0|Griedge Mbock Bathy', '90+4’|1:2|Élise Bussaglia']",,Feminina
Norway,England,0,3,2019-06-27,2019,France,21111,0–3,Quarter-finals,,Jill Scott · 3’|Ellen White · 40’|Lucy Bronze · 57’,,,,,,,['88’|0:3|Maria Thorisdottir'],,Feminina
Italy,China PR,2,0,2019-06-25,2019,France,17492,2–0,Round of 16,Valentina Giacinti · 15’|Aurora Galli · 49’,,,,,,,,,,Feminina
Netherlands,Japan,2,1,2019-06-25,2019,France,21076,2–1,Round of 16,Lieke Martens · 17’,Yui Hasegawa · 43’,,,Lieke Martens (P) · 90’,,,,,['89’|1:1|Saki Kumagai'],Feminina
Spain,United States,1,2,2019-06-24,2019,France,19633,1–2,Round of 16,Jennifer Hermoso · 9’,,,,,Megan Rapinoe (P) · 7’|Megan Rapinoe (P) · 76’,,,['85’|1:2|Irene Paredes'],['37’|1:1|Megan Rapinoe'],Feminina
Sweden,Canada,1,0,2019-06-24,2019,France,38078,1–0,Round of 16,Stina Blackstenius · 55’,,,,,,,,"['45’|0:0|Fridolina Rolfö', '68’|1:0|Kosovare Asllani']",['85’|1:0|Kadeisha Buchanan'],Feminina
England,Cameroon,3,0,2019-06-23,2019,France,20148,3–0,Round of 16,Steph Houghton · 14’|Ellen White · 45+4’|Alex Greenwood · 58’,,,,,,,,,"['4’|0:0|Yvonne Leuko', '90+10’|3:0|Alexandra Takounda']",Feminina
France,Brazil,2,1,2019-06-23,2019,France,0,2–1,Round of 16,Valérie Gauvin · 52’|Amandine Henry · 106’,Thaisa · 63’,,,,,,,['36’|0:0|Wendie Renard'],"['45+2’|0:0|Tamires', '70’|1:1|Formiga', '83’|1:1|Beatriz', '101’|1:1|Kathellen']",Feminina
Germany,Nigeria,3,0,2019-06-22,2019,France,17988,3–0,Round of 16,Alexandra Popp · 20’|Lea Schüller · 82’,,,,Sara Däbritz (P) · 27’,,,,"['32’|2:0|Alexandra Popp', '57’|2:0|Svenja Huth']","['26’|1:0|Evelyn Nwabuoku', '61’|2:0|Desire Oparanozie', '82’|2:0|Rasheedat Ajibade']",Feminina
Norway,Australia,1,1,2019-06-22,2019,France,0,(4) 1–1 (1),Round of 16,Isabell Herlovsen · 31’,Elise Kellond-Knight · 83’,,,,,,Alanna Kennedy · 104’,"['53’|1:0|Kristine Minde', '96’|1:1|Lisa-Marie Karlseng Utland', '105+2’|1:1|Vilde Bøe Risa']",,Feminina
Netherlands,Canada,2,1,2019-06-20,2019,France,19277,2–1,Group stage,Anouk Dekker · 54’|Lineth Beerensteyn · 75’,Christine Sinclair · 60’,,,,,,,"['23’|0:0|Anouk Dekker', '90’|2:1|Jill Roord']","['38’|0:0|Kadeisha Buchanan', '80’|2:1|Quinn']",Feminina
Cameroon,New Zealand,2,1,2019-06-20,2019,France,8009,2–1,Group stage,Ajara Nchout · 57’|Ajara Nchout · 90+5’,,,Aurelle Awona (OG) · 80’,,,,,['69’|1:0|Alexandra Takounda'],['68’|1:0|Anna Green'],Feminina
Sweden,United States,0,2,2019-06-20,2019,France,22418,0–2,Group stage,,Lindsey Horan · 3’,,Jonna Andersson (OG) · 50’,,,,,['86’|0:2|Sofia Jakobsson'],"[""59’|0:2|Kelley O'Hara""]",Feminina
Thailand,Chile,0,2,2019-06-20,2019,France,13567,0–2,Group stage,,María José Urrutia · 80’,,Waraporn Boonsing (OG) · 48’,,,,,"['59’|0:1|Pitsamai Sornsai', '85’|0:2|Waraporn Boonsing']",,Feminina
Japan,England,0,2,2019-06-19,2019,France,14319,0–2,Group stage,,Ellen White · 14’|Ellen White · 84’,,,,,,,,,Feminina
Scotland,Argentina,3,3,2019-06-19,2019,France,28205,3–3,Group stage,Kim Little · 19’|Jennifer Beattie · 49’|Erin Cuthbert · 69’,Milagros Menéndez · 74’,,Lee Alexander (OG) · 79’,,Florencia Bonsegundo (P) · 90+4’,,,"['85’|3:2|Erin Cuthbert', '85’|3:2|Caroline Weir', '90+3’|3:2|Lee Alexander']",['75’|3:1|Mariana Larroquette'],Feminina
Italy,Brazil,0,1,2019-06-18,2019,France,21669,0–1,Group stage,,,,,,Marta (P) · 74’,,,['15’|0:0|Elisa Bartoli'],"['12’|0:0|Letícia Santos', '90+4’|0:1|Kathellen']",Feminina
Jamaica,Australia,1,4,2019-06-18,2019,France,17402,1–4,Group stage,Havana Solaun · 49’,Sam Kerr · 11’|Sam Kerr · 42’|Sam Kerr · 69’|Sam Kerr · 83’,,,,,,,['71’|1:3|Konya Plummer'],['76’|1:3|Emily van Egmond'],Feminina
South Africa,Germany,0,4,2019-06-17,2019,France,15502,0–4,Group stage,,Melanie Leupolz · 14’|Sara Däbritz · 29’|Alexandra Popp · 40’|Lina Magull · 58’,,,,,,,"['53’|0:3|Lebohang Ramalepe', '58’|0:3|Nothando Vilakazi', '66’|0:4|Rhoda Mulaudzi']",['54’|0:3|Lina Magull'],Feminina
China PR,Spain,0,0,2019-06-17,2019,France,11814,0–0,Group stage,,,,,,,,,['63’|0:0|Li Wen'],,Feminina
Korea Republic,Norway,1,2,2019-06-17,2019,France,13034,1–2,Group stage,Yeo Min-ji · 78’,,,,,Caroline Graham Hansen (P) · 5’|Isabell Herlovsen (P) · 51’,,,"['4’|0:0|Cho So-hyun', '85’|1:2|Yeo Min-ji']",,Feminina
Nigeria,France,0,1,2019-06-17,2019,France,28267,0–1,Group stage,,,,,,Wendie Renard (P) · 79’,,,"['28’|0:0|Ngozi Ebere', '78’|0:0|Chiamaka Nnadozie', '90+9’|0:1|Rita Chikwelu']",['45+1’|0:0|Valérie Gauvin'],Feminina
Sweden,Thailand,5,1,2019-06-16,2019,France,9354,5–1,Group stage,Linda Sembrant · 6’|Kosovare Asllani · 19’|Fridolina Rolfö · 42’|Lina Hurtig · 81’,Kanjana Sungngoen · 90+1’,,,Elin Rubensson (P) · 90+6’,,,,,"['45’|3:0|Taneekarn Dangda', '90+5’|4:1|Natthakarn Chinwong']",Feminina
United States,Chile,3,0,2019-06-16,2019,France,45594,3–0,Group stage,Carli Lloyd · 11’|Julie Ertz · 26’|Carli Lloyd · 35’,,,,,,,,"['23’|1:0|Lindsey Horan', '88’|3:0|Allie Long']","['76’|3:0|Francisca Lara', '80’|3:0|Yessenia Huenteo', '90+4’|3:0|Su Helen Galaz']",Feminina
Netherlands,Cameroon,3,1,2019-06-15,2019,France,22423,3–1,Group stage,Vivianne Miedema · 41’|Dominique Janssen · 48’|Vivianne Miedema · 85’,Gabrielle Onguene · 43’,,,,,,,,"['14’|0:0|Christine Manie', '37’|0:0|Genevieve Ngo', '68’|2:1|Raissa Feudjio']",Feminina
Canada,New Zealand,2,0,2019-06-15,2019,France,14856,2–0,Group stage,Jessie Fleming · 48’|Nichelle Prince · 79’,,,,,,,,,,Feminina
Japan,Scotland,2,1,2019-06-14,2019,France,13201,2–1,Group stage,Mana Iwabuchi · 23’,Lana Clelland · 88’,,,Yuika Sugasawa (P) · 37’,,,,['19’|0:0|Aya Sameshima'],['36’|1:0|Rachel Corsie'],Feminina
Jamaica,Italy,0,5,2019-06-14,2019,France,12016,0–5,Group stage,,Cristiana Girelli · 25’|Cristiana Girelli · 46’|Aurora Galli · 71’|Aurora Galli · 81’,,,,Cristiana Girelli (P) · 12’,,,"['12’|0:0|Sydney Schneider', '59’|0:3|Khadija Shaw']",,Feminina
England,Argentina,1,0,2019-06-14,2019,France,20294,1–0,Group stage,Jodie Taylor · 61’,,,,,,,,['45+2’|0:0|Jade Moore'],"['39’|0:0|Aldana Cometti', '69’|1:0|Agustina Barroso']",Feminina
Australia,Brazil,3,2,2019-06-13,2019,France,17032,3–2,Group stage,Caitlin Foord · 45+1’|Chloe Logarzo · 58’,Cristiane · 38’,Mônica (OG) · 66’,,,Marta (P) · 27’,,,,"['14’|0:0|Formiga', '85’|3:2|Andressa', '87’|3:2|Luana']",Feminina
South Africa,China PR,0,1,2019-06-13,2019,France,20011,0–1,Group stage,,Li Ying · 40’,,,,,,,['83’|0:1|Noko Matlou'],,Feminina
Nigeria,Korea Republic,2,0,2019-06-12,2019,France,11252,2–0,Group stage,Asisat Oshoala · 75’,,Kim Do-yeon (OG) · 29’,,,,,,['61’|1:0|Rita Chikwelu'],"['49’|1:0|Ji So-yun', '71’|1:0|Hwang Bo-ram']",Feminina
Germany,Spain,1,0,2019-06-12,2019,France,20761,1–0,Group stage,Sara Däbritz · 42’,,,,,,,,['63’|1:0|Verena Faißt'],,Feminina
France,Norway,2,1,2019-06-12,2019,France,34872,2–1,Group stage,Valérie Gauvin · 46’,,,Wendie Renard (OG) · 54’,Eugénie Le Sommer (P) · 72’,,,,['56’|1:1|Eugénie Le Sommer'],['71’|1:1|Ingrid Syrstad Engen'],Feminina
New Zealand,Netherlands,0,1,2019-06-11,2019,France,10654,0–1,Group stage,,Jill Roord · 90+2’,,,,,,,,,Feminina
